id,family,name,direction,status,hc_reduced,final_hc,net_savings,total_invest,total_savings,payback_mo,final_prof,final_trust,final_ready,avg_damp,prod_valley,final_eff_adopt_pct,final_raw_adopt_pct,final_hmult,final_fatigue,months_simulated
SC-10.2,sensitivity,Readiness × Proficiency Interaction,sensitivity,OK,9,531,-5117066.666666667,5702400.0,585333.3333333334,0,29.127760788022126,37.192456991429346,47.7729491332687,0.07398966469960544,100.13671504974589,7.682836777603567,89.98364953607324,0.13915190344922,0.005052105049080279,37
SC-10.3,stress_test,Trust Destruction (2 AI Errors),forward,OK,4,536,-5309400.0,5702400.0,393000.0,0,28.054943093503855,26.19904537050818,47.87164084636603,0.056805270008177845,100.13671504974589,5.229418048086331,89.98364953607324,0.13430361597374535,0.0022336061991634886,37
SC-10.4,stress_test,Attrition Shock (15% Tech Loss),forward,OK,31,374,1325450.0,4276800.0,5602250.0,26,68.5266647377717,71.35175065995185,72.47578999709877,0.43450762201109744,100.39878584218323,42.39730931264387,89.98364953607324,0.4966524162736335,0.024039822200041392,37
SC-10.5,stress_test,Breakpoint: HC Reduction Limit,sensitivity,OK,10,530,-4682900.0,5702400.0,1019500.0000000001,0,30.082347246519877,37.711047642265235,47.749630223494435,0.07588421604263418,100.20413976689406,8.913810186792777,100.0,0.143642095727608,0.005619165357273433,37
SC-11.1,regulatory,New Compliance Requirements (+30 tasks),forward,OK,9,531,-5117066.666666667,5702400.0,585333.3333333334,0,29.127760788022126,37.192456991429346,47.7729491332687,0.07398966469960544,100.13671504974589,7.682836777603567,89.98364953607324,0.13915190344922,0.005052105049080279,37
SC-11.2,regulatory,AI Now Permitted for Claims Triage,forward,OK,7,533,-2290400.0,2786400.0,496000.0,0,29.129702889026394,37.19350715062302,47.81434165241149,0.07402001501724817,100.13671504974589,7.683692384335263,89.98364953607324,0.1392817566169146,0.003922161546255421,37
SC-12.4,competitive,Competitor Match: 50% Claims Automation,inverse,OK,8,532,-3345033.3333333335,3661200.0,316166.6666666667,0,27.142384135070067,36.12779929651078,46.35097353896286,0.06965105067590377,100.18228673299453,7.4912805147997945,100.0,0.12580759288289983,0.004488155870011948,19
SC-12.1,composite,Full 36-Month Transformation Program,forward,OK,58,1312,-7964116.666666667,14467200.0,6503083.333333333,0,42.50899734873868,50.88305644146971,57.59441420449001,0.16710731542712887,100.15040048673849,20.39294032290128,100.0,0.24482808007208232,0.013017112406325066,37
SC-12.3,composite,3-Year with Moving Ceiling (Annual Reassessment),forward,OK,58,1312,-8527366.666666668,14467200.0,5939833.333333333,0,42.091832273486,50.65189820975384,57.59535100091833,0.16537358988751025,100.1007192141969,20.105304240537535,100.0,0.2424293854063208,0.013011514621677527,37
SC-7.3,function_transformation,Claims-to-Payment Workflow Automation,forward,OK,13,766,-3685810.0,4393560.0,707750.0,0,30.823080427057164,39.2653781108305,49.322722756976596,0.08855434512487682,100.19842670414508,9.826509332953218,100.0,0.15202782504197324,0.005058996488579007,25
SC-7.4,org_restructure,Merge Claims Processing + Review,forward,OK,0,540,-1911600.0,1911600.0,0.0,0,25.0,35.0,46.51999999999997,1.0,100.0,0,0.0,0.11629999999999992,0,19
SC-6.2,role_transformation,Eliminate Claims Data Entry Clerk,forward,OK,4,536,-2232050.0,2332800.0,100750.0,0,26.014474170812736,35.5314947991756,45.95540222849982,0.06775694003887428,100.20413976689406,5.383202153988029,76.7126977439628,0.11955056242826186,0.002233610073790478,13
SC-6.3,role_transformation,Create AI Operations Specialist Role,forward,OK,0,945,-3175200.0,3175200.0,0.0,0,42.5,50.0,58.53999999999998,1.0,100.0,0,0.0,0.2487949999999999,0,13
SC-6.4,role_transformation,Role Vacancy: Claims Examiner Attrition,forward,OK,0,540,-1814400.0,1814400.0,0.0,0,25.0,35.0,46.03999999999998,1.0,100.0,0,0.0,0.11509999999999994,0,13
SC-2.4,headcount_target,Flatten Management Layers,forward,OK,12,1358,-4394716.666666667,4849800.0,455083.33333333326,0,35.57830407079285,47.18176921229955,56.44451704662536,0.14823694361735662,100.11682741533951,7.670045420262799,49.26129841533635,0.20082001906138874,0.002641572363159722,19
